,block_code,panchayat_code
0,0103002,0103002006
1,0316008,0316008002
2,0405005,0405005003
3,0518014,0518014015
4,1123009,1123005094
5,1215007,1215007042
6,1309003,1309003086
7,1406021,1406012029
8,1512006,1512006016
9,1611005,1611005002
10,1717005,1717005012
11,1818005,1818005046
12,2006004,2006004001
13,2103002,2103002125
14,2203005,2203005043
15,2308003,2308003017
16,2407003,2407003028
17,2502001,2502001002
18,2617005,2617005030
19,2709006,2709004218
20,2804004,2804001016
21,2902010,2902010008
22,3001019,3001009024
23,3163002,3163002074
24,3209010,3209010005
25,3301016,3301016129
26,3403006,3403006021
27,3513009,3513009033
